song,artist
Youth,Daughter
Home,Daughtry
Skyscraper,Demi Lovato
Stone Cold,Demi Lovato
Rejoice,Dustin Kensrue
Lost And Found,Ellie Goulding
Bad Girls Club,Falling In Reverse
She Drives Me Crazy,Fine Young Cannibals
Club Can't Handle Me,Flo Rida
Dirt,Florida Georgia Line
I Want To Know What Love Is,Foreigner
Ugly Heart,GRL
Don't stop being crazy,Helloween
Concerning Hobbits,Howard Shore
I Bet My Life,Imagine Dragons
Girls Chase Boys,Ingrid Michaelson
Where Are U Now feat Justin Bieber,Jack U
Trumpets,Jason Derulo
Silence,Jay Chou
Say,John Mayer
Walt Grace's Submarine Test,John Mayer
Hey Defriender,Jonathan Mann
Canciones de Amor,Julieta Venegas
Croc The Adventure Begins,Justin Scharvona
World Cup Theme,K'naan
Wavin' Flag,K'naan
Breakaway,Kelly Clarkson
Petroleum,Kent
Die Young,Kesha
Shatter Me,Lindsey Stirling ft Lzzy Hale
Bossman,Lucky Boys Confusion
Midnight City,M83
Octavia,Marcus Werner
Sooner Or Later,Mat Kearney
Unwell,Matchbox 20
On the Nature of Daylight,Max Richter
astral blast,nanobii
That's How You Know,Nico and Vinz
Dadsong,Old Spice
What Makes You Beautiful,One Direction
Good Life,One Republic
That Green Gentleman,Panic At The Disco
Lost For Words,Pink Floyd
Fidelity,Regina Spektor
Forgiven,Relient K
FourFiveSeconds,Rihanna And Kanye West And Paul McCartney
Junebug,Robert Francis
Call Your Girlfriend,Robyn
Brave,Sara Bareilles
Livin' On The Run,Scott Grimes
Other Side Of Love,Sean Paul
Stitches,Shawn Mendes
Alive,Sia
Dynamite,Taio Cruz
Stay Stay Stay,Taylor Swift
Dirty Little Secret,The All-American Rejects
Mr Brightside,The Killers
Ho Hey,The Lumineers
Stubborn Love,The Lumineers
New Slang,The Shins
Live Like You Were Dying,Tim McGraw
Martha,Tom Waits
House Of Gold,Twenty One Pilots
Where The Streets Have No Name,U2
Shut Up and Dance,Walk The Moon
No Sleep,Wiz Khalifa
Carrot For A Cock,Yogscast
Break Free feat - Ariana Grande,Zedd
Hadouken,Zeds Dead
Even If She Falls,Blink-182
Top Of The World,Greek Fire
Follow Me,Hardwell
Sweatshirt,Jacob Sartorius
Longing for Lullabies ft Titiyo,Kleerup
Rosalina In The Observatory,Koji Kondo
Love Like Ghosts,Lord Huron
Meet Me In The Woods,Lord Huron
True Colors,Marina and the Diamonds
Pumpin Blood,NONONO
Stitches,Shawn Mendes
Strong Enough,Sheryl Crow
Alone - Au5 and Fractal remix,Singularity
Summertime,The Mowgli's
Headache,Tiny Moving Parts
I Love You,Woodkid
How You Love Me,3LAU
Take On Me,A-ha
So Long,ABBA
Counting Song,Adam Buxton
Music of the Night,Andrew Lloyd Webber
Russian Unicorn,Bad Lip Reading
Somebody Loves You,Betty Who
Lonely Is the Night,Billy Squier
All The Small Things,Blink 182
Hooked On A Feeling,Blue Swede
Jessica's Theme,Bruce Rowland
Grenade,Bruno Mars
Everything I Do,Bryan Adams
Acceptable in the 80's,Calvin Harris
Keasbey Nights,Catch 22
My Heart Will Go On,Celine Dion
Silent Hope,Chance Thomas
El Poeta,Chino y Nacho
With You,Chris Brown
Sea Of Love -Remix-,Daze
Yee,Dinosaurs
I'll Make A Man Out Of You,Disney
Do Ya,Electric Light Orchestra
Go Down In History,Four Year Strong
The Anthem,Good Charlotte
21 Guns,Green Day
American Idiot,Green Day
Minority,Green Day
Don't Save Me,Haim
I Know,Hank Green
It All Makes Sense at the End,Hank Green
MMMBop,Hanson
Windmill,Helloween
Wreck-It Ralph,Henry Jackman
I Will Never Be Your Friend,Irish Stew of Sindidun
Your Body Is A Wonderland,John Mayer
Still Alive,Johnathan Coulton and Ellen McLain
Re Your Brains,Jonathan Coulton
Waking Up In Vegas,Katy Perry
Eh Eh,Lady Gaga
You Are A Pirate,Lazy Town
Cooking By The Book,LazyTown
Tangerine,Led Zeppelin
Stairway to Heaven,Led Zeppelin
History Of A Boring Town,Less Than Jake
Don't Let's Talk About Lisa,Lonestar
Mozart,Mat Zo and Arty
3am,Matchbox 20
Leave It With Me,MIKE and Andrew Bennett
The Silvery Snowland,Motoi Sakuraba
King of Carrot Flowers,Neutral Milk Hotel
Warriors,Nicky Romero Vs Volt and State
Squid Kid,Nintendo
Liverty,Oyuugi Wagamama Dan x PaRADEiS
Always,Panama
Nom Nom Nom Nom Nom Nom Nom,Parry Gripp
Sheep,Pink Floyd
Sea of Voices,Porter Robiinson
Under Pressure,Queen
Catch of the Day,Rhythm Heaven Fever
Latitude End - Andre Sobota Remix,Rich Curtis
When You Say Nothing At All,Ronan Keating
Bonnie and Clyde,Serge Gainsbourg and Brigitte Bardot
The First Cut Is The Deepest,Sheryl Crow
As I Lay Me Down,Sophie B Hawkins
Before The Dive,St Lucia
Luigi's Ballad,Starbomb
Sparks,Steerner ft Corey Saxon
Baby C'mon,Stephen Malkmus
Luka,Suzanne Vega
Dare You To Move,Switchfoot
Style,Taylor Swift
Everything Is Awesome,Tegan and Sara
There She Goes,The La's
The Package Store Petition,The Mighty Mighty Bosstones
The Horse Shoe and the Rabbit's Foot,The Mighty Mighty Bosstones
Dead Leaves And The Dirty Ground,The White Stripes
You Don't Know What Love Is,The White Stripes
Nightgown of the Sullen Moon,They Might Be Giants
Should've Been A Cowboy,Toby Keith
2 4 6 8 Motorway,Tom Robinson Band
Crimson and Clover,Tommy James and The Shondells
Give me one reason,Tracy Chapman
Hey Soul Sister,Train
Frame of Mind,Tristam and Braken
A-Punk,Vampire Weekend
Way Too Much,Wavves
Stop Forwarding That Crap To Me,Weird Al Yankovic
Real American,WWE
Fairy Tail - Main Theme,Yasuharu Takanashi
Stardust Witch Meruru - Meteo Impact,Yukari Tamura
Tolong Jangan Nangis Bayi,ArmanArX
Heaven is a Place on Earth,Belinda Carlisle
The Archers Bows Have Broken,Brand New
Wild World,Cat Stevens
Even If It Breaks Your Heart,Eli Young Band
Phantom Hourglass OST- The Great Sea,Hidemaro Fujibayashi
Rosette,Le Vent du Nord
Brain Power,Noma
Heavy Things,Phish
Be My Escape,Relient K
Say You Do,Sigala
Give Me Your Love,Sigala
2 Become 1,Spice Girls
Mama,Spice Girls
Gotta Have You,The Weepies
Hey Mickey,Toni Basil
Waterloo,ABBA
I Don't Want To Miss A Thing,Aerosmith
Rebellion,Arcade Fire
Trojans,Atlas Genius
All for Leyna,Billy Joel
Bjornes Magasin,Bjorne
I Can't Make You Love Me,Bonnie Raitt
Dancing in the Dark,Bruce Springsteen
When I Was Your Man,Bruno Mars
Everything I Do,Bryan Adams
Rest Of Me,Callaway and Rosta
Organ Symphony No 3 Op 78 - If I Had Words,Camille Saint-Saens
Circle Of Life,Carmen Twillie
Here And Now,Cash Cash
Human Contact,Catey Shaw
Hard To Say Im Sorry,Chicago
A Thousand Years,Christina Perri
Khe Sanh,Cold Chisel
Look Back,Denzal Park feat Eyelar
Dimension-Reversing Dualities,DIAD
Hakuna Matata,Disney
I Can Go The Distance,Disney - Hercules
Part of Your World,Disney Jodi Benson
Your Song,Elton John
I Can't Help Falling In Love,Elvis Presley
100 Years,Five For Fighting
All Right Now,Free
We Are Young,Fun
Darling,Girl's Day
The Rock Theme,Hans Zimmer
Stick to the Status Quo,High School Musical
Bridge of Khazad-dum,Howard Shore
Concerning Hobbits,Howard Shore
Hyadain no Kakakata Kataomoi-C,Hyadain
Brazilian Flower,Jean Jacques Perrey
IBM 1401 Processing Unit,Johann Johannson
Re Your Brains,Jonathan Coulton
O Holy Night,Josh Groban
Faithfully,Journey
Battle Hymm of the Republic,Julia Howe
Morning Music,Konami
Ghosts,Lars Allertz
Fuck You,Lily Allen
Piano Sonata No 8 ''Pathetique'' - 1st Movement,Ludwig Van Beethoven
Symphony No 9 in D minor - 4th Movement,Ludwig Van Beethoven
Like A Prayer,Madonna
Strike Witches - Sweet Duet,Mai Kadowaki - Erika Nakai
Rainbow Road,Mario Kart 64
Dreaming in Stereo - Under The Moon,Michael Walthius
Easy Love,MSTRKRFT
These Words,Natasha Bedingfield
Moving In The Dark,Neon Trees
Rasen'nawatashi--My Spiral,NiR-Gerda
Dragostea Din Tei,O Zone
All Or Nothing,O-Town
Let Her Go,Passenger
New,Paul McCartney
The Final Cut,Pink Floyd
NiR-Gerda,Rasen'nawatashi--My Spiral
One For All All For One,Razihel and Virtual Riot
Roll With The Changes,REO Speedwagon
ERC Song,Ryan
Around My Heart,Sandra
Bridge over Troubled Water,Simon and Garfunkel
Rent I Pay,Spoon
Gentle Annie,Stephen C Foster
Tonight,Stereotronique and Sebastian Ivarsson
It's a Sunshine Day,Steve McCarthy
World 2,Super Mario 3D World
Good Vibrations,The Beach Boys
Mother Nature's Son,The Beatles
December 1963 - Oh What a Night,The Four Seasons
We Intertwined,The Hush Sound
Make Your Own Kind of Music,The Mamas and The Papas
500 Miles,The Proclaimers
Cabin Down Below,The Royal Concept
The Nanosong,The Sounds of Science
Untouched,The Veronicas
Tinker Tailor,Thomas Feijk
Happy Birthday,Traditional
Till It's Over,Tristam
Tesla,Unitopia
A-Punk,Vampire Weekend
His Cheeseburger,Veggie Tales
Follow You Down,Zedd
Find You,Zedd
Beloved Tomboyish Girl,ZUN
Heartfelt Fancy,ZUN
Girl's Divinity - Pandora's Box,ZUN
Paradise - Deep Mountain,ZUN
Hiroari Shoots a Strange Bird - Till When,ZUN
Ichizu Na Omoi,ASSUMED SOUNDS
Joyful Joyful We Adore Thee,Beethoven
I'm A Cuckoo,Belle and Sebastian
Give Me One Good Reason,Blink 182
You're The Inspiration,Chicago
Recess Theme,Denis M Hannigan
Without You,Dillon Francis and TEED
Sirius,Eir Aoi
Midlife Crisis,Faith No More
Atlas,Feint
Little Lies,Fleetwood Mac
Love Yourself,Justin Bieber
K3 Loves You,K3
You Came,Kim Wilde
Super Mario Bros 2 Ending,Koji Kondo
Born This Way,Lady Gaga
Fuer Elise,Ludwig van Beethoven
Dawn - Hardwell Edit,Michael Brun
Mozart Clarinet Concerto K622 Andante,Mozart
Love Live S2 - Yume no Tobira,Mu's
Resistance,Muse
Exogenesis,Muse
Rosalina In The Observatory,Nintendo
Outset Island,Nintendo
1901,Phoenix
Lost For Words,Pink Floyd
Young Turks,Rod Stewart
Edelweiss,Rodgers and Hammerstein
Feel The Love,Rudimental
Into The Light,Sander van Doorn and Dubvision and Mako
Ecuador,Sash
Lava Reef Zone,Sega
Whatever You Want,Status Quo
The Only Thing,Sufjan Stevens
All Of Me Wants All Of You,Sufjan Stevens
John My Beloved,Sufjan Stevens
Eugene,Sufjan Stevens
Fourth of July,Sufjan Stevens
Sylvia,The Antlers
Only Yesterday,The Carpenters
Linger,The Cranberries
Jump For My Love,The Pointer Sisters
Tumbling Dice,The Rolling Stones
William It Was Really Nothing,The Smiths
Untouchable,Tritonal x Cash Cash
Suicide Commando - Hellraiser,VNV Nation Remix
Wait For The Moment,Vulfpeck
Baby Blue,We Were Evergreen
Der Holle Rache kocht in meinem Herzen,Wolfgang Amadeus Mozart
K387 String Quartet No14 In G Major,Wolfgang Amadeus Mozart
Mamma Mia,ABBA
This Is What It Feels Like,Armin van Buuren
Drowning,Armin van Buuren featuring Laura V - Avicii Remix
All You Need Is Love,Avicii - Ezon remix
When You're Gone,Avril Lavigne
Jupiter,Ayaka Hirahara
Sonata No 8 - Pathetique - 2nd Movement,Beethoven
Bjornes Magasin,Bjorne
First Date,Blink 182
No Woman No Cry,Bob Marley
More Than A Feeling,Boston
Circus,Britney Spears
Out From Under,Britney Spears
A Thousand Years,Christina Perri
Realize,Colbie Caillat
Silver Scrapes,Danny McCarthy
Titanium feat Sia,David Guetta
I Will Follow You Into the Dark,Death Cab for Cutie
Can You Feel The Love Tonight,Disney
I Can Feel,Ela Rose ft David Deejay
Say Yes,Elliott Smith
Can You Feel the Love Tonight,Elton John
Love The Way You Lie,Eminem ft Rihanna
Tears in Heaven,Eric Clapton
Fields of Gold,Eva Cassidy
Accidently Kelly Street,Frente
Meet The New Google Maps Commercial,Google
21 Guns,Green Day
Viva La Gloria,Green Day
Tong Hua,Guang Liang
Concerning Hobbits,Howard Shore
The passenger,Iggy Pop
Breakdown,Jack Johnson
You're Beautiful,James Blunt
Flaming Moe's,Jeff Martin
Beautiful Soul,Jesse McCartney
Working Class Man,Jimmy Barnes
You Raise Me Up,Josh Groban
All My Life,K-Ci and Jojo
Dust In The Wind,Kansas
Bend and Break,Keane vs Basto
Stronger,Kelly Clarkson
The Show Goes On,Lupe Fiasco
Free Bird,Lynyrd Skynrd
Never gonna leave this bed,Maroon 5
Animals,Martin Garrix
Superman,Mat Zo
Push,Matchbox 20
Kids,MGMT
Songbirds,Oasis
Wonderwall,Oasis
Live While We're Young,One Direction
Too Late To Apologize,One Republic
Home,Phillip Phillips
Just Give Me A Reason,Pink
Just Give Me A Reason,Pink and FUN
Bohemian Rhapsody,Queen
Motion Picture Soundtrack,Radiohead
The Call,Regina Spektor
Laughing With,Regina Spektor
Killing Me Softly,Roberta Flack
ERC Song,Ryan
Bottle It Up,Sara Bareilles
Who Says,Selena Gomez
What You Are,Sheena Easton
Nothing Compares 2U,Sinead O'Connor
Wasted Time,Skid Row
Santeria,Sublime
Valder Fields,Tamas Wells
Dumb Ways to Die,Tangerine Kitty
Eyes Open,Taylor Swift
Every Time I Think Of You,The Babys
Yesterday,The Beatles
Zombie,The Cranberries
Boombox,The Lonely Island
Beast of Burden,The Rolling Stones
Satisfied in You,the Sing Team
Disco Inferno,The Trammps
Telluride,Tim McGraw
Blessed,Tom Hangs 'Avicii' - Shermanology
Billionaire,Travie McCoy ft Bruno Mars
El Dorado,Two Steps From Hell
Come Back To Me,Utada Hikaru
The Dachstein Angels,Wally Badarou
The Moon,Yoshihiro Sakaguchi
Prelude,4Frame
Amnesia,5 Seconds Of Summer
Take On Me,A-ha
Bart Peeters,Allemaal Door Jou
The Man,Aloe Blacc
Watch Over You,Alter Bridge
Pulsar,Armin Van Buuren
Reckless,Australian Crawl
Blinded In Chains,Avenged Sevenfold
Hey Brother,Avicii
Allemaal Door Jou,Bart Peeters
Love Live - Natsu Owaranai De,BiBi
God and Satan,Biffy Clyro
Mountains,Biffy Clyro
I Miss You,Blink 182
At The Bottom,Brand New
Mega Man X - Flame Mammoth,Capcom
Hyde Park,Carnaby Street Pop Orchestra And Choir
Rolling Can,Chef Boyardee
Opposite of Adults,Chiddy Bang
Courtesy,Chipzel
A Thousand Years,Christina Perri
Karma Chameleon,Culture Club
Titanium feat Sia,David Guetta
Just One Last Time,David Guetta Ft Taped Rai
Deck'd,Dom Fera
Cool Kids,Echosmith
Tears In Heaven,Eric Clapton
Only My Railgun,fripSide
Slateport City,Game Freak
Arrival of the Queen of Sheba,George Frederic Handel
Don't Forget Me,Girl's Day
The Sweet Escape,Gwen Stefani
Fancy,Iggy Azalea
I Want You Back,Jackson 5
Moon Theme - Remastered Version,Jake Kaufman
Laputa Castle in the Sky Main Theme,Joe Hisaishi
Closer,Joe Inoue
The Star-Spangled Banner,John Stafford Smith
Re Your Brains,Jonathan Coulton
DANCE,Justice
I'm In Love,Kastenholt and Dee
Duett,Kent
Do You Want To Build A Snowman,Kristen Bell
Speechless,Lady Gaga
Oath Sign,LiSA
Why Can't I,Liz Phair
Free Bird,Lynyrd Skynyrd
Rude,MAGIC
Let Your Hair Down,MAGIC
Yuusha Raideen,Masato Shimon
Dear Future Husband,Meghan Trainor
Tonight,New Kids on the Block
Bed Of Lies,Nicki Minaj feat Skylar Grey
The Poet and the Pendulum,Nightwish
Super Smash Bros Melee - Pollyanna,Nintendo
Super Mario 3D World- Main Theme,Nintendo
Earthbound Zero - Pollyanna,Nintendo
Super Mario Galaxy - Gusty Garden Galaxy,Nintendo
Final Fantasy VI - Dancing Mad Part 3,Nobuo Uematsu
Needing - Getting,OK Go
Theme of Madril,Okage Shadow King
When Can I See You Again,Owl City
Pingfan zhi lu,Piao Shu
1 2 3 4,Plain White T's
She's Not the End of the World,Reel Big Fish
Sun goes down,Robin Schulz
Hiiragi Town School Days - Muv-Luv Extra OST,Shinobu Kajihisa
Tonight Tonight,Smashing Pumpkins
Up There,South Park
Ageless Beauty,Stars
Lichen and Bees,Tamas Wells
From Prying Plans into the Fire,Tamas Wells
Calleth You Cometh I,The Ark
The Weight,The Band
Flowers In Your Hair,The Lumineers
Rainbow Connection,The Muppets
Fall Hook N Sling Remix,The Presets
Cabin Down Below,The Royal Concept
Hey Beautiful,The Solids
Care Of Cell 44,The Zombies
Just Communication,Two-Mix
When There Was Me and You - High School Musical,Vanessa Hudgens
Hymne,Vangelis
Shut Up and Dance,Walk The Moon
My Name Is Jonas,Weezer
No One Else,Weezer
Ringtone,Weird Al Yankovic
This Is Love,WILL I AM
Long Distance Runaround,Yes
Cut It Out,4minute
Heavy Rotation,AKB48
How Can I Believe,Anderson Hall
The Singularity Song,Animation Domination High-Def
asdfas,asf
Now You're Gone,Basshunter
Lost Cause,Beck
Wonderful Life,Black
Asthenia,Blink-182
I Am A Nightmare,Brand New
Good To Know If I Ever Needed Attention,Brand New
Have You Ever Seen the Rain,Creedence Clearwater Revival
Reflection,Disney
Going Under,Evanescence
Flames Of Love,Fancy
Secret Heart,Feist
Helena Beat,Foster The People
Don't Pull Your Love,Hamilton Joe Frank and Reynolds
Jerusalem,Hubert Parry
Shadows,Hudson Mohawke
Carolina In My Mind,James Taylor
Flashlight,Jessie J
Ayano's Theory of Happiness,Jin
Have A Little Faith,John Hiatt
June and Johnny,Jon Foreman
Umi no Koe,Kenta Kiritani
Super Mario Bros 2 Ending,Koji Kondo
Til It Happens To You,Lady Gaga
Rosette,Le Vent du Nord
Love Live - Futari Happiness,lily white
Chilly Waters Theme,Mario Party 3
Frequency Flyer,Mat Zo
I Took A Pill In Ibiza - SeeB Remix,Mike Posner
Deck of War - Title,Nathan Ford
Fighting For My Love,Nil Lara
Tetris Attack - Water Stage,Nintendo
GBA Sky Garden - Mario Kart DS,Nintendo
That Green Gentleman,Panic At The Disco
Stand By You,Rachel Platten
Let Down,Radiohead
Stars Come Out,Runaground and Disco Fries
She,Saves The Day
Woe,Say Anything
Treat You Better,Shawn Mendes
Cheap Thrills,Sia
Move Your Body,Sia
The Less I Know the Better,Tame Impala
Let It Happen,Tame Impala
Greek,Test 1
Only Yesterday,The Carpenters
Christmas Time - Don't Let The Bells End,The Darkness
The Punch Line,The Mighty Mighty Bosstones
Reunited,Toby Fox
Nobody Love,Tori Kelly
What Do You Mean It's 1985,Tronicbox
Rapikamu,Twinklestars
M79,Vampire Weekend
I Saw Red,Warrant
Falling For You,Weezer
My Name Is Jonas,Weezer
All The Man That I Need,Whitney Houston
Onigashima in Fairy Land - Missing Power,ZUN
Still Hurting,Anna Kendrick
Two Million,Avicii
Words,Bent Van Looy
Mandolin Rain,Bruce Hornsby and the Range
The Wizard And I,Carole Shelley and Idina Menzel
Khe Sanh,Cold Chisel
Can You Feel the Love Tonight,Elton John
Adventures of the Gummi Bears,Gummi Bears
Want You Gone,Jonathan Coulton and Ellen McLain
Wooden Doll,Kenshi Yonezu
Ray Of Light,Madonna
Rainbow Road,Mario Kart 64
To Be With You,Mr Big
Smile Smile Smile,My Little Pony
Winter Wrap Up,My Little Pony
The Night Is Still Young,Nicki Minaj
Windfall Island,Nintendo
Locke Theme,Nobuo Uematsu
Russian Dance 'Trepak',Pyotr Ilyich Tchaikovsky
Don't Stop Me Now,Queen
Sonic 1 - Special Stage,Sega
A Plea En Vendredi,Tamas Wells
Blackbird,The Beatles
Take It To The Limit,The Eagles
December 1963 - Oh What a Night,The Four Seasons
Auto-Tune The News 5,The Gregory Brothers
Make Your Own Kind of Music,The Mamas and The Papas
No One Knows My Plan,They Might Be Giants
Duel With the Devil,Transatlantic
La Valse D'Amelie,Yann Tiersen
Find You,Zedd
Someone Like You,Adele
When We Were Young,Adele
Danny's Song,Anne Murray
Anohana - I Left You Last,Anohana
Pegasus,Arias
Boston,Augustana
Hey Brother,Avicii
The Awareness,Ayreon
Something,Beatles
When I Was Your Man,Bruno Mars
The Silmarillia,Carlos
Have You Ever Seen the Rain,Creedence Clearwater Revival
Song from Pi,David Macdonald
Thank You,Dido
I Can Go The Distance,Disney - Hercules
The Sons of Katie Elder Theme,Elmer Bernstein
Macross 7 - Try Again,Fire Bomber
Route 209,Game Freak
Tong Hua,Guang Liang
Jack Sparrow,Hans Zimmer
Nothing Left to Say,Imagine Dragons
Flightless Bird American Mouth,Iron and Wine
Valentine's Day is a Lie,Jacksfilms
Bonfire Heart,James Blunt
Tower of Mistakes,Jeff Liu
Look What You've Done,Jet
Anywhere For You,John Martin
How To Train Your Dragon - Test Drive,John Powell
Olympic Fanfare and Theme,John Williams
Somewhere In My Memory - Home Alone Theme,John Williams
Step Out,Jose Gonzales
Mr Kaizers hans Constanze og meg,Kaizers Orchestra
Jubel,Klingande
For the First Time in Forever,Kristen Bell and Idina Menzel
Dadima,KSHMR
On My Own,Les Miserables
Guren no Yumiya,Linked Horizon
The Departure,Michael Nyman
UchotenJinsei-UchotenKazouku-OP,milktub
Colors,Morandi
United States Of Eurasia,Muse
Revolt,Muse
Welcome To The Black Parade,My Chemical Romance
Le Sud,Nino Ferrer
Chilly Waters,Nintendo
Secrets,One Republic
Million Voices,Otto Knows
Only Love Can Hurt Like This,Paloma Faith
That Green Gentleman,Panic At The Disco
Cara Mia,Portal 2 Soundtrack
A Whiter Shade of Pale,Procol Harum
Super Robot Wars - So Close Yet so Far,Quintet
Georgia,Ray Charles
Tripping,Robbie Williams
I'm Not Cool,Scott Krippayne
The Boxer,Simon and Garfunkel
Come Sail Away,Styx
The Best Day,Taylor Swift
Magical Girls,The Aprils
A Day in the Life,The Beatles
Red Lights,Tiesto
We All Need Some Light,Transatlantic
San Francisco,Vanessa Carlton
You Shook Me All Night Long,ACDC
Turning Tables,Adele
High School Never Ends,Bowling For Soup
Fix You,Coldplay
Skyscraper,Demi Lovato
Burn,Ellie Goulding
Tiny Dancer,Elton John
Fanta Time,Fanta Idol
Shark Attack,Grouplove
Ridin' Solo,Jason Derulo
Coast of Carolina,Jimmy Buffett
The Heart of Life,John Mayer
Mr Kaizers hans Constanze og meg,Kaizers Orchestra
Ka Nohona Pili Kai,Keali'i Reichel
Reflections,MisterWives
Great Big Storm,Nate Ruess
Let Me Love You,Ne-Yo
In This Twilight,Nine Inch Nails
Super Smash Bros Melee - Corneria,Nintendo
All Or Nothing,O-Town
Just Give Me A Reason,Pink and FUN
Fresh Static Snow,Porter Robinson
Shelter,Porter Robinson and Madeon
Somebody To Love,Queen
Black Star,Radiohead
Movements,Rend Collective
Auld Lang Syne,Robert Burns
Headlights,Robin Schulz
Hiding ft The Nicholas,San Holo
I am,Sick Individuals - Axwell
Tonight Tonight,Smashing Pumpkins
Firefly Theme - Ballad Of Serenity,Sonny Rhodes
The Cigarette Song,South Park
Ageless Beauty,Stars
Why Do You Love Me,Steerner and Dszako
Fine Don't Follow A Tiny Boat,Tamas Wells
Pizza Power,Teenage Mutant Ninja Turtles
At Least It Was Here,The 88
Gold On The Ceiling,The Black Keys
The Time Warp,The Rocky Horror Show
Hopeless Bleak Despair,They Might Be Giants
Museum Of Idiots,They Might Be Giants
Stuck in a Moment You Can't Get Out Of,U2
A Thousand Miles,Vanessa Carlton
The Day Before You Came,ABBA
Soviet National Anthem,Alexander Alexandrov
Jupiter,Ayaka Hirahara
Resentment,Beyonce
All American Girl,Carrie Underwood
Bad Day,Daniel Powter
True North,Devin Townsend
Thinking Out Loud,Ed Sheeran
Mr Blue Sky,Electric Light Orchestra
The Sons of Katie Elder Theme,Elmer Bernstein
Tiny Dancer,Elton John
Rock And Roll,Eric Hutchinson
Mag Mell Cuckool Mix 2007 - Clannad OP,Eufonius
Fields of Gold,Eva Cassidy
Breathe,Faith Hill
Landslide,Fleetwood Mac
Congregation,Foo Fighters
I Want to Know What Love Is,Foreigner
All Alone,Fun
Vs Colress,Game Freak
Slateport City,Game Freak
Arrival of the Queen of Sheba,George Frederic Handel
Let's Go,Girl's Day
Meet The New Google Maps Commercial,Google
Jack Sparrow,Hans Zimmer
Big Rock Candy Mountain,Harry McClintock
Path Of The Wind - Totoro,Joe Hisaishi
Closer,Joe Inoue
Super Mario 64 - Dire Dire Docks,Koji Kondo
Super Mario Bros 3 - Overworld,Koji Kondo
Mario 64 - File Select,Koji Kondo
Tangerine,Led Zeppelin
Crash My Party,Luke Bryan
Same Love,Macklemore
Let Your Hair Down,MAGIC
Frequency Flyer,Mat Zo
Shiawase High Tension,Minami-ke Tadaima OP
Acha Cha Kare,Mini Pati
Acha Cha Karee,Mini Pati
Hirari Kirakira Yami Yami Museum,Mini Pati
Ocean Breathes Salty,Modest Mouse
Romeo and Juliet,Nino Rota
Rosalina In The Observatory,Nintendo
Super Mario Galaxy - Gusty Garden Galaxy,Nintendo
Super Mario Land - Muda Kingdom,Nintendo
Safe and Sound,Nitro Fun
Final Fantasy IV Battle Theme,Nobuo Uematsu
In Time,Peacetreaty Singularity Remix
Just Give Me A Reason,Pink
Just Give Me A Reason,Pink and FUN
Karma Police,Radiohead
The Good Left Undone,Rise Against
Every Man Has A Molly,Say Anything
The Cigarette Song,South Park
Death With Dignity,Sufjan Stevens
Dirty Little Secret,The All-American Rejects
Sylvia,The Antlers
Here Today,The Beach Boys
God Only Knows,The Beach Boys
I'm Looking Through You,The Beatles
Let It Be,The Beatles
Midday Star,Togakushi Touko
Right Now,Van Halen
No One Else,Weezer
Ringtone,Weird Al Yankovic
Mega Man 6 - Tomahawk Man Stage,Yuko Takehara
Spring Lane - Colorful Path,ZUN
Akutagawa Ryuunosuke's Kappa - Candid Friend,ZUN
Reincarnation,ZUN
Goodbye Song,Bear in the Big Blue House
Uptown Girl,Billy Joel
Oops I Did It Again,Britney Spears
Parachute,Cheryl Cole
I'll Make A Man Out Of You,Disney
Hakuna Matata,Disney
Leaving Without,dj-Jo
BWV 1080 Art of the Fugue - Contrapunctus I,Johann Sebastian Bach
Code Monkey,Jonathan Coulton
Shop Vac,Jonathan Coulton
